ID,Name,ETH Wallet Address,Points
1,cetsn,0xROxYSq9ZM2zrN21K02B0oVlvpeDWqNn2rp3gS1PZ,71
2,gxumry,0x6ba9nj0to8CupW31qGEfROxYSq9ZM2zrN21K02B0,837
3,yntokkeo,0xVlvpeDWqNn2rp3gS1PZTJz4U1Rs9UBL1d212mDw3,970
4,rkpnp,0xmXS034GNxq2jCWR0iKF75YTArdQwPrE7vXS4ALpN,669
5,akvsjhgl,0xi54Q9y8nC5fbZHt2v71m6s5aP291Mwg91BVzO929,729
6,mdadls,0xOroo9t306u3PAV3a1WS1lXUdEYd833nFx42pP52H,594
7,rzymtptuo,0xURRrWBiL5C656mKw798O89N7b4WicQ9AdaZseBrS,378
8,pajcinzod,0x7vXS4ALpN77D2JeR99soMNYci54Q9y8nC5fbZHt2,876
9,tkqmcgbm,0x21upEoZdd2Nr1z1oW8hctbvqq9A78m2bQSupn5i6,864
10,xinogfyot,0xhLH4N3Vb27JyRrg9uYURAMIo94elL8t60shEoZdb,480
11,aolok,0xEoZdb66ryY5gD7hcajMq1OAf7m79QS6pnwid8BN8,50
12,zkbwvou,0xdaZseBrSFl5MG8m6HE7XJ3O18Pf89zQj0ih31k5u,982
13,ardgvi,0xFy5We7xK2aLHXG8VUl3JrRtF94YURTMqOy0elE4s,351
14,efqppzd,0xOy0elE4s21upEoZdd2Nr1z1oW8hctbvqq9A78m2b,391
15,qimkez,0x1v75Qj5CtO3zZ4608p4Skw2P9kXmnP3756IFxqWC,914
16,erfussl,0xelE4s21upEoZdd2Nr1z1oW8hctbvqq9A78m2bQSu,333
17,qpqopxinog,0xD3V4w4E8Oroo9t306u3PAV3a1WS1lXUdEYd833nF,911
18,bvoqoqw,0x3O18Pf89zQj0ih31k5uF7JMGD7NIEMfJOxY2y823,17
19,efqppzd,0x3O18Pf89zQj0ih31k5uF7JMGD7NIEMfJOxY2y823,924
20,ndvkliqsg,0xC656mKw798O89N7b4WicQ9AdaZseBrSFl5MG8m6H,802
21,ortwbp,0x062rjdR1BeuT2fc3mYmV7Z1n4819y9GqR0Q1j1t0,920
22,vquqzzs,0x60K56A4oCsvpD6Nqnn6rw8hS0PZT5g3URRrWBiL5,513
23,cqyrjkhqrn,0xf89zQj0ih31k5uF7JMGD7NIEMfJOxY2y8231X946,875
24,obvoqoqw,0xmn793T1IFy5We7xK2aLHXG8VUl3JrRtF94YURTMq,165
25,aijykavuu,0x2JeR99soMNYci54Q9y8nC5fbZHt2v71m6s5aP291,930
26,uxmsqgjd,0xk6N40zB2fF3542v30Pj1V3O4sa0219402DwJP0kX,459
27,eypsnxen,0x5fbZHt2v71m6s5aP291Mwg91BVzO929KK68hq068,445
28,okkeo,0xfF3542v30Pj1V3O4sa0219402DwJP0kXmn793T1I,846
29,cgqxrlxz,0xq068OI8B6W6yZ35u67T5Iv5O8J4mmXS034GNxq2j,101
30,cybvclr,0xkebbCg523h0eNi0n8JFG5KpqzLsI0MaSk142C2MU,675
31,woevtsei,0xmeA58y3HOR4q005RQIfbj5g967h4lni497JFNfKp,561
32,qcqkxewjmw,0x52H062rjdR1BeuT2fc3mYmV7Z1n4819y9GqR0Q1j,303
33,wpriu,0xbbCg523h0eNi0n8JFG5KpqzLsI0MaSk142C2MUD3,21
34,rokrz,0x60K56A4oCsvpD6Nqnn6rw8hS0PZT5g3URRrWBiL5,117
